lat,lon
10.8532453800,106.7715099983
10.8532454050,106.7715100683
10.8532454850,106.7715100850
10.8532393967,106.7715094783
10.8532388183,106.7715094617
10.8532381800,106.7715094567
10.8532376483,106.7715093900
10.8532370350,106.7715093617
10.8532364150,106.7715092450
10.8532212217,106.7715086217
10.8532205167,106.7715086283
10.8532198183,106.7715085850
10.8532189900,106.7715085050
10.8532181417,106.7715085317
10.8532021567,106.7715068633
10.8532013750,106.7715067533
10.8532006183,106.7715066367
10.8531999150,106.7715064367
10.8531991200,106.7715064017
10.8531815017,106.7715048900
10.8531807000,106.7715046600
10.8531798183,106.7715046517
10.8531790517,106.7715045550
10.8531782833,106.7715044183
10.8531598067,106.7715014150
10.8531590700,106.7715012617
10.8531584983,106.7715014583
10.8531575617,106.7715013683
10.8531568483,106.7715014350
10.8531395383,106.7714994550
10.8531387383,106.7714993267
10.8531380167,106.7714992683
10.8531372583,106.7714991983
10.8531365267,106.7714991917
10.8531142433,106.7714968550
10.8531133650,106.7714967817
10.8531125400,106.7714966867
10.8531117150,106.7714965483
10.8531108800,106.7714963250
10.8531099817,106.7714962933
10.8530908067,106.7714937200
10.8530899283,106.7714935417
10.8530890383,106.7714934850
10.8530881483,106.7714933650
10.8530871400,106.7714932600
10.8530620883,106.7714903100
10.8530612083,106.7714900933
10.8530602983,106.7714899967
10.8530593967,106.7714897750
10.8530585083,106.7714896333
10.8530576200,106.7714895833
10.8530349333,106.7714856050
10.8530340367,106.7714854017
10.8530330067,106.7714854267
10.8530321100,106.7714853333
10.8530309983,106.7714851033
10.8530072200,106.7714822933
10.8530062783,106.7714819833
10.8530053167,106.7714817983
10.8530041883,106.7714818300
10.8529791750,106.7714786667
10.8529779667,106.7714784783
10.8529768150,106.7714782900
10.8529755733,106.7714782283
10.8529744000,106.7714781417
10.8529732567,106.7714780333
10.8529482117,106.7714750817
10.8529470600,106.7714750350
10.8529458833,106.7714749000
10.8529446967,106.7714746500
10.8529436317,106.7714746433
10.8529110200,106.7714706617
10.8529096333,106.7714705450
10.8529085350,106.7714703650
10.8529076217,106.7714700483
10.8529064100,106.7714696783
10.8528785467,106.7714665317
10.8528773967,106.7714664700
10.8528763533,106.7714664517
10.8528752550,106.7714663433
10.8528741033,106.7714661650
10.8528501900,106.7714639833
10.8528489817,106.7714637017
10.8528478500,106.7714635983
10.8528467817,106.7714634433
10.8528457117,106.7714632983
10.8528446067,106.7714631433
10.8528183333,106.7714599950
10.8528170417,106.7714599533
10.8528158400,106.7714597417
10.8528146450,106.7714595967
10.8528134300,106.7714595100
10.8527844683,106.7714558867
10.8527831900,106.7714558383
10.8527818367,106.7714558167
10.8527805050,106.7714556600
10.8527792050,106.7714555217
10.8527494050,106.7714520650
10.8527480950,106.7714520100
10.8527467283,106.7714519067
10.8527453850,106.7714517050
10.8527440917,106.7714515300
10.8527057133,106.7714478633
10.8527043550,106.7714476333
10.8527030550,106.7714473917
10.8527016633,106.7714472683
10.8527003550,106.7714470050
10.8526989717,106.7714469883
10.8526672650,106.7714434650
10.8526659500,106.7714433533
10.8526644600,106.7714431950
10.8526630050,106.7714430533
10.8526287017,106.7714377667
10.8526273117,106.7714376050
10.8526256833,106.7714373850
10.8526241767,106.7714374350
10.8526228217,106.7714373233
10.8525909067,106.7714328500
10.8525896517,106.7714327750
10.8525882683,106.7714326883
10.8525869567,106.7714325150
10.8525856083,106.7714323900
10.8525843267,106.7714320850
10.8525549267,106.7714291767
10.8525535683,106.7714289767
10.8525522667,106.7714289267
10.8525508017,106.7714287767
10.8525495300,106.7714286967
10.8525090200,106.7714247200
10.8525075950,106.7714245433
10.8525062433,106.7714243250
10.8525048183,106.7714242667
10.8525033317,106.7714241800
10.8525019350,106.7714241917
10.8524671367,106.7714200783
10.8524655583,106.7714197533
10.8524639700,106.7714195350
10.8524625233,106.7714192283
10.8524611500,106.7714191233
10.8524284950,106.7714161167
10.8524270667,106.7714160783
10.8524255583,106.7714158117
10.8524241967,106.7714156750
10.8524226967,106.7714154933
10.8523905967,106.7714120983
10.8523891533,106.7714119733
10.8523877633,106.7714117350
10.8523864983,106.7714117317
10.8523537817,106.7714077933
10.8523524517,106.7714076900
10.8523511217,106.7714074617
10.8523498367,106.7714071283
10.8523485083,106.7714071600
10.8523169000,106.7714028767
10.8523153883,106.7714027000
10.8523139467,106.7714025767
10.8523125033,106.7714024183
10.8523110500,106.7714023683
10.8522776633,106.7713980050
10.8522762883,106.7713979467
10.8522748117,106.7713978450
10.8522733700,106.7713978217
10.8522720850,106.7713976817
10.8522706917,106.7713976433
10.8522404767,106.7713947717
10.8522391750,106.7713944483
10.8522377683,106.7713944200
10.8522364817,106.7713944083
10.8522351967,106.7713941933
10.8521990833,106.7713900283
10.8521977967,106.7713900200
10.8521964633,106.7713898333
10.8521953133,106.7713897050
10.8521941317,106.7713895600
10.8521928683,106.7713895967
10.8521651167,106.7713879733
10.8521639267,106.7713880783
10.8521627250,106.7713878483
10.8521614667,106.7713877050
10.8521330450,106.7713849183
10.8521316850,106.7713845917
10.8521303517,106.7713842600
10.8521290217,106.7713841650
10.8521276150,106.7713838283
10.8520970750,106.7713802150
10.8520957700,106.7713800967
10.8520945283,106.7713799533
10.8520931633,106.7713797750
10.8520918500,106.7713794867
10.8520622667,106.7713754200
10.8520610333,106.7713751450
10.8520597000,106.7713749250
10.8520583417,106.7713749533
10.8520570783,106.7713750617
10.8520286933,106.7713716667
10.8520274933,106.7713714983
10.8520261417,106.7713714617
10.8520249083,106.7713712167
10.8520235883,106.7713710817
10.8520224300,106.7713709450
10.8519945183,106.7713678600
10.8519932183,106.7713676767
10.8519919900,106.7713675383
10.8519907033,106.7713674317
10.8519894867,106.7713673917
10.8519609983,106.7713641217
10.8519597267,106.7713639433
10.8519585050,106.7713638100
10.8519572333,106.7713635783
10.8519560283,106.7713634333
10.8519269467,106.7713598950
10.8519257367,106.7713596917
10.8519244100,106.7713595717
10.8519230100,106.7713593533
10.8518900417,106.7713557567
10.8518886317,106.7713555667
